size,sorted,stable,timeTaken
10,true,false,1.413E-5
20,true,false,2.4744E-5
30,true,false,4.1416E-5
40,true,false,5.7535E-5
50,true,false,7.9808E-5
60,true,false,9.625E-5
70,true,false,1.22957E-4
80,true,false,1.32895E-4
90,true,false,1.51779E-4
100,true,false,1.72941E-4
200,true,false,4.03707E-4
300,true,false,6.35317E-4
400,true,false,8.83378E-4
500,true,false,0.001280818
600,true,false,0.001759933
700,true,false,0.001699675
800,true,false,0.001967506
900,true,false,0.002364371
1000,true,false,0.002988098
2000,true,false,0.005858624
3000,true,false,0.009904201
4000,true,false,0.013077329
5000,true,false,0.016713645
6000,true,false,0.021053031
7000,true,false,0.024607576
8000,true,false,0.02766467
9000,true,false,0.031203616
10000,true,false,0.034493655
20000,true,false,0.09385389
30000,true,false,0.11470165
40000,true,false,0.16046602
50000,true,false,0.20563354
60000,true,false,0.2540003
70000,true,false,0.3261452
80000,true,false,0.35476148
90000,true,false,0.40500906
